domena,ID reg,ID drzitela,Stav domeny,NS1,NS2,NS3,NS4,datum exspiracie
saservis.sk,WEBS-0001,MATE-0481,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,06.11.2020
sashe.sk,WEBS-0001,SHEI-0001,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,13.11.2020
sasinatherapy.sk,ELBI-0002,LURP-0001,OK,ns.inetadmin.sk,ns.inetadmin.cz,ns.inetadmin.eu,,17.10.2020
sass-sk.sk,WEBG-0001,OCIC-0016,OK,ns.webglobe.sk,ns2.webglobe.sk,,,15.10.2020
saszp.sk,WEBS-0001,WS-56017,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,08.11.2020
satanizmus.sk,WEBS-0001,WS-68851,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,11.06.2020
satanshop.sk,ISKI-0001,FORPSI-S98126,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,,08.09.2021
satelnr.sk,ISKI-0001,FORPSI-S673019,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,,21.08.2020
sates.sk,WEBS-0001,SATE-0001-4025,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,09.03.2020
saticky.sk,WEBS-0001,WS-55418,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,11.05.2020
satisfactory.sk,WEBS-0001,WS-13530,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,11.11.2020
satisfy.sk,WEBS-0001,SATI-0006,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,14.11.2020
satmo.sk,ISKI-0001,SATM-0002,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,ns.forpsi.us,04.11.2020
satnikykudla.sk,ISKI-0001,FORPSI-S648200,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,,08.11.2020
satro.sk,SATR-0001,SATR-0001,OK,ns2.satro.sk,ns1.satro.sk,a.ns.satro.sk,,09.06.2027
satservice.sk,ISKI-0001,LADI-0895,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,,24.08.2020
satservispd.sk,WEBS-0001,WS-76457,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,28.10.2020
satshop.sk,WEBS-0001,AHAV-0001,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,06.11.2020
saturan.sk,GRAN-0063CZ,sub_1154460,OK,ns1.hosting90.cz,ns2.hosting90.cz,ns3.hosting90.net,,17.10.2020
saturngrayyesmina.sk,WEBG-0001,WY-106094,OK,ns1.wy.sk,ns2.wy.sk,ns1.wydns.net,ns2.wydns.net,29.11.2020
saty-pre-moletky.sk,WEBG-0001,MATM-0001,OK,ns1.nameserver.sk,ns2.nameserver.sk,ns1.dnsbackup.net,ns2.dnsbackup.net,21.11.2020
satydamske.sk,WEBS-0001,WS-67094,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,12.05.2020
satynastuzkovu.sk,ISKI-0001,MARE-0791,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,ns.forpsi.us,12.09.2020
satyolie.sk,WEBS-0001,WS-2756,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,14.06.2020
satyshop.sk,WEBS-0001,WS-51887,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,25.05.2020
satysnov.sk,WEBS-0001,WS-67094,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,12.05.2020
sauberer.sk,WEBS-0001,WS-69053,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,14.06.2020
saukludni.sk,WEBS-0001,WS-580,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,05.11.2020
saule.sk,WEBS-0001,WS-26463,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,23.10.2020
saunalife.sk,WEBS-0001,WS-68920,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,12.06.2020
saunaluma.sk,WEBS-0001,WS-29918,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,14.11.2020
saunavdome.sk,ELBI-0002,DESI-0030-1465,OK,ns.inetadmin.eu,ns.inetadmin.sk,ns.inetadmin.cz,,15.01.2020
saunovedomy.sk,ELBI-0002,DESI-0030-1465,OK,ns.inetadmin.eu,ns.inetadmin.sk,ns.inetadmin.cz,,15.01.2020
saunovydom.sk,ELBI-0002,DESI-0030-1465,OK,ns.inetadmin.eu,ns.inetadmin.sk,ns.inetadmin.cz,,15.01.2020
saveesport.sk,ISKI-0001,FORPSI-S424230,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,,07.11.2020
saverbrik.sk,ISKI-0001,FORPSI-S483133,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,,12.06.2020
savp.sk,ISKI-0001,BARB-0131,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,ns.forpsi.us,03.07.2020
savpatronka.sk,WEBS-0001,WS-44702,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,05.07.2020
sax-uun.sk,ELBI-0002,CENT-0004-4623,OK,ns.inetadmin.eu,ns.inetadmin.sk,ns.inetadmin.cz,,22.02.2021
saxofon.sk,WEBS-0001,RYUI-0001-4025,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,05.11.2020
saxun.sk,ISKI-0001,FORPSI-S676001,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,,27.09.2020
say-yes-cosmetics.sk,ISKI-0001,FORPSI-S629939,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,,29.08.2020
sayyes.sk,ISKI-0001,FORPSI-S629939,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,,29.07.2020
sayyescosmetics.sk,ISKI-0001,FORPSI-S629939,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,,29.08.2020
sazenice.sk,ISKI-0001,OSLA-0001-4623,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,ns.forpsi.us,14.12.2019
sba.sk,ISKI-0001,SBIG-0001-4623,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,ns.forpsi.cn,26.09.2020
sbazar.sk,ISKI-0001,IGOR-0252,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,ns.forpsi.cn,01.10.2020
sbcbox.sk,WEBS-0001,WS-65487,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,10.04.2020
sbdo.sk,WEBS-0001,STAV-0115,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,10.11.2020
sbdsala.sk,ISKI-0001,FORPSI-S251179,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,,11.06.2021
sbdtn.sk,WEBG-0001,WY-83631,OK,dns1.syphon.sk,dns2.syphon.sk,dns3.syphon.sk,,09.11.2020
sbejdak.sk,ISKI-0001,FORPSI-S672816,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,,17.08.2020
sbggalanta.sk,ELBI-0002,ELB-FJH59Z0BL2WL,OK,ns.inetadmin.eu,ns.inetadmin.sk,ns.inetadmin.cz,,10.07.2020
sborisom.sk,WEBS-0001,WS-76518,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,28.10.2020
sbs-dsa.sk,ELBI-0002,SINE-0009,OK,ns.inetadmin.eu,ns.inetadmin.sk,ns.inetadmin.cz,,26.02.2020
sbskobra.sk,WEBS-0001,WS-56030,OK,ns1.websupport.sk,ns2.websupport.sk,ns3.websupport.sk,,31.10.2020
sbstavmont.sk,ISKI-0001,FORPSI-S85587,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,,04.11.2020
sbvelkoobchod.sk,ISKI-0001,FORPSI-S646647,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,,17.10.2020
scalo.sk,ISKI-0001,FORPSI-S352210,OK,ns.forpsi.net,ns.forpsi.it,ns.forpsi.cz,,13.09.2021
